,ticket_number,resolution,agentid,cpc,firstcontactresolution,fullresolutiontime,replytime,problem,ticketcreationdate,satisfaction,comment
495,13211,,1532.0,,0.0,5.0,26.0,Cheating,2021-08-18,Offered,N / A
499,14916,,1947.0,3.0,0.0,8.0,143.0,Wrong password,2021-06-01,Offered,
508,10712,,1548.0,1.0,1.0,2.0,250.0,Item do not show,2021-05-25,Offered,
512,13970,,1566.0,3.0,0.0,4.0,107.0,Wrong password,2021-06-07,Offered,
514,11252,,1812.0,4.0,0.0,10.0,219.0,Wrong password,2021-08-01,Offered,N / A
517,14314,,1568.0,1.0,1.0,7.0,72.0,Item do not show,2021-06-22,Offered,N / A
519,15171,,1390.0,3.0,0.0,19.0,946.0,Wrong password,2021-08-02,Offered,N / A
526,14102,,1996.0,4.0,0.0,10.0,92.0,Item do not show,2021-06-03,Offered,N / A
528,10787,,1770.0,,0.0,3.0,193.0,Wrong password,2021-08-04,Offered,
530,14363,,1692.0,3.0,0.0,4.0,672.0,Payment processing,2021-07-31,Offered,
533,13789,,1947.0,3.0,0.0,8.0,92.0,Payment processing,2021-06-01,Offered,
535,10213,,1377.0,2.0,0.0,5.0,208.0,,2021-08-17,Offered,N / A
537,11305,,1535.0,2.0,0.0,6.0,306.0,,2021-05-25,Offered,
540,14961,,1496.0,3.0,,10.0,129.0,Payment processing,2021-07-24,Offered,N / A
542,12466,,1580.0,2.0,0.0,3.0,419.0,Payment processing,2021-07-19,Offered,
544,10894,,1480.0,3.0,0.0,5.0,245.0,Wrong password,2021-07-02,Offered,
545,11837,,1455.0,,0.0,13.0,816.0,,2021-08-07,Offered,
547,10388,,1414.0,2.0,0.0,7.0,255.0,Payment processing,2021-07-22,Offered,
548,12484,,1710.0,2.0,0.0,11.0,1004.0,Wrong password,2021-06-27,Offered,
553,13316,,1583.0,2.0,0.0,5.0,211.0,Payment processing,2021-06-04,Offered,
561,10606,,1535.0,3.0,0.0,17.0,870.0,Wrong password,2021-08-18,Offered,N / A
562,13965,,1812.0,3.0,0.0,4.0,171.0,Item do not show,2021-06-19,Offered,
567,15186,,1580.0,2.0,0.0,11.0,15.0,Compromited account,2021-08-08,Offered,
569,11229,,1571.0,3.0,0.0,7.0,786.0,Compromited account,2021-08-18,Offered,
571,14830,,1812.0,2.0,0.0,7.0,201.0,Cheating,2021-05-21,Offered,N / A
574,11635,,1899.0,4.0,,4.0,21.0,Payment processing,2021-08-22,Offered,N / A
575,15026,,1985.0,3.0,0.0,14.0,635.0,Cheating,2021-08-09,Offered,
580,11370,,1695.0,2.0,0.0,20.0,263.0,Compromited account,2021-07-05,Offered,N / A
581,12699,,1400.0,2.0,0.0,11.0,272.0,,2021-06-05,Offered,N / A
582,10191,,1663.0,2.0,0.0,17.0,250.0,Cheating,2021-05-25,Offered,
584,13810,,1817.0,2.0,0.0,,191.0,Item do not show,2021-05-18,Offered,N / A
588,10951,,1535.0,,,5.0,170.0,Wrong password,2021-08-21,Offered,N / A
592,13864,,2019.0,,0.0,5.0,159.0,Item do not show,2021-06-29,Offered,N / A
595,12073,,1571.0,3.0,0.0,9.0,82.0,Payment processing,2021-07-01,Offered,
598,13986,,1947.0,4.0,0.0,15.0,635.0,Payment processing,2021-08-09,Offered,
605,11439,,1360.0,4.0,0.0,10.0,575.0,Cheating,2021-05-12,Offered,N / A
607,10236,,1688.0,5.0,0.0,11.0,180.0,Item do not show,2021-08-14,Offered,
613,12554,,1473.0,,0.0,4.0,13.0,Item do not show,2021-06-05,Offered,
615,12937,,1317.0,3.0,0.0,5.0,246.0,Item do not show,2021-07-24,Offered,
616,14441,,2028.0,3.0,0.0,6.0,70.0,Item do not show,2021-06-20,Offered,
617,11851,,1384.0,1.0,1.0,2.0,72.0,Payment processing,,Offered,
618,10828,,1438.0,,0.0,23.0,307.0,Payment processing,2021-08-22,Offered,
620,15442,,1340.0,2.0,0.0,9.0,203.0,Wrong password,2021-07-01,Offered,
621,11033,,1648.0,1.0,1.0,3.0,80.0,Payment processing,2021-07-06,Offered,
622,11154,,1949.0,2.0,0.0,5.0,,Wrong password,2021-06-26,Offered,
627,12442,,1985.0,3.0,0.0,5.0,,Payment processing,2021-05-14,Offered,
630,13486,,1580.0,3.0,0.0,10.0,228.0,Wrong password,2021-05-21,Offered,
631,14635,,1336.0,2.0,0.0,22.0,781.0,Item do not show,2021-06-07,Offered,
633,14694,,1248.0,4.0,0.0,20.0,617.0,Payment processing,2021-08-05,Offered,
636,15653,,1317.0,,1.0,26.0,674.0,Item do not show,,Offered,
637,12244,,1358.0,2.0,0.0,20.0,591.0,Item do not show,2021-08-20,Offered,
638,13206,,1248.0,4.0,0.0,4.0,255.0,Payment processing,2021-06-17,Offered,
641,12764,,1571.0,4.0,0.0,22.0,481.0,Item do not show,2021-08-03,Offered,
642,14502,,1384.0,4.0,0.0,9.0,213.0,Item do not show,2021-06-30,Offered,N / A
646,15662,,1746.0,1.0,1.0,9.0,225.0,Compromited account,2021-07-19,Offered,
650,14561,,1770.0,1.0,1.0,,488.0,Wrong password,,Offered,
651,11037,,1857.0,2.0,,12.0,13.0,Payment processing,2021-07-23,Offered,N / A
654,13645,,2019.0,2.0,0.0,6.0,116.0,Wrong password,2021-07-20,Offered,N / A
655,11261,,1427.0,1.0,1.0,23.0,313.0,Payment processing,2021-07-04,Offered,
656,11806,,1317.0,1.0,1.0,17.0,198.0,Payment processing,2021-06-18,Offered,
660,13650,,1390.0,6.0,,8.0,188.0,Item do not show,2021-06-25,Offered,N / A
661,13233,,1812.0,1.0,1.0,5.0,248.0,Payment processing,2021-07-06,Offered,
666,14302,,1455.0,2.0,0.0,16.0,644.0,Item do not show,2021-07-19,Offered,
676,12465,,1336.0,3.0,0.0,10.0,27.0,,2021-06-23,Offered,N / A
680,11697,,1819.0,3.0,0.0,5.0,,Wrong password,2021-08-04,Offered,
681,13134,,1571.0,2.0,0.0,13.0,704.0,Item do not show,2021-08-06,Offered,N / A
682,12095,,1317.0,5.0,0.0,9.0,194.0,Item do not show,2021-05-21,Offered,N / A
683,15537,,1480.0,3.0,0.0,15.0,666.0,Payment processing,2021-08-04,Offered,
684,11993,,1535.0,,1.0,9.0,97.0,Item do not show,,Offered,N / A
700,11392,,1726.0,2.0,0.0,2.0,46.0,Item do not show,2021-08-10,Offered,
703,10302,,1754.0,2.0,0.0,8.0,204.0,Payment processing,2021-07-27,Offered,
713,15246,,1360.0,4.0,0.0,4.0,184.0,Wrong password,2021-05-23,Offered,
718,14249,,1359.0,,0.0,3.0,749.0,Compromited account,2021-05-19,Offered,N / A
721,12915,,1812.0,3.0,0.0,7.0,75.0,Payment processing,2021-06-01,Offered,N / A
722,13282,,1473.0,1.0,,2.0,120.0,Compromited account,2021-05-21,Offered,N / A
723,12705,,1929.0,2.0,0.0,13.0,519.0,,2021-06-27,Offered,N / A
725,10615,,1942.0,2.0,,,762.0,Cheating,2021-08-20,Offered,N / A
726,13253,,1568.0,2.0,0.0,11.0,75.0,Wrong password,2021-08-13,Offered,
728,13092,,1519.0,1.0,1.0,3.0,151.0,Wrong password,2021-07-09,Offered,
731,10256,,1857.0,2.0,0.0,4.0,217.0,Payment processing,2021-08-15,Offered,
733,10510,,1921.0,4.0,0.0,9.0,315.0,,,Offered,
736,10995,,1726.0,3.0,0.0,11.0,829.0,Payment processing,2021-08-16,Offered,
737,12036,,1719.0,,,,592.0,Wrong password,2021-08-16,Offered,N / A
740,12326,,1817.0,,0.0,3.0,157.0,Wrong password,2021-07-05,Offered,
746,13499,,1248.0,2.0,0.0,2.0,107.0,Payment processing,2021-07-29,Offered,
749,13112,,1949.0,3.0,0.0,9.0,664.0,Wrong password,2021-05-16,Offered,
757,10562,,1340.0,4.0,0.0,4.0,608.0,Payment processing,2021-07-27,Offered,
770,15110,,1892.0,1.0,1.0,9.0,202.0,Payment processing,2021-08-02,Offered,
771,14619,,1532.0,1.0,1.0,6.0,168.0,Item do not show,2021-06-01,Offered,N / A
773,12091,,1341.0,2.0,0.0,3.0,248.0,Payment processing,2021-05-11,Offered,
779,12175,,1571.0,4.0,0.0,2.0,194.0,Wrong password,2021-07-02,Offered,N / A
781,14114,,1548.0,3.0,0.0,7.0,156.0,Wrong password,2021-05-22,Offered,N / A
784,13323,,1695.0,6.0,0.0,5.0,561.0,Item do not show,2021-05-23,Offered,
789,10345,,1754.0,4.0,0.0,8.0,469.0,,2021-07-20,Offered,N / A
790,14404,,1942.0,3.0,0.0,14.0,657.0,Wrong password,2021-05-11,Offered,
794,15084,,1341.0,4.0,0.0,6.0,145.0,Wrong password,2021-07-02,Offered,N / A
805,11666,,1287.0,,0.0,8.0,29.0,Payment processing,2021-08-02,Offered,
808,14246,,1455.0,2.0,0.0,10.0,507.0,Payment processing,2021-08-20,Offered,N / A
813,11282,,1936.0,2.0,,23.0,,Compromited account,2021-08-06,Offered,N / A
814,11217,,1892.0,3.0,,9.0,137.0,,2021-08-22,Offered,N / A
823,10400,,1317.0,,0.0,5.0,152.0,Cheating,2021-06-15,Offered,N / A
824,11068,,1697.0,1.0,1.0,5.0,117.0,Payment processing,2021-08-18,Offered,N / A
829,12919,,1985.0,3.0,0.0,19.0,574.0,Item do not show,2021-07-22,Offered,
831,11898,,1360.0,3.0,0.0,18.0,358.0,Wrong password,2021-06-15,Offered,
833,12905,,1688.0,5.0,0.0,15.0,872.0,Cheating,2021-05-18,Offered,
836,10600,,1781.0,3.0,0.0,3.0,12.0,Cheating,2021-07-07,Offered,
840,15164,,1985.0,,0.0,19.0,864.0,Compromited account,2021-05-12,Offered,N / A
841,13574,,1777.0,3.0,0.0,7.0,149.0,Payment processing,2021-08-15,Offered,
846,13063,,1317.0,4.0,,10.0,608.0,Compromited account,2021-07-02,Offered,N / A
851,12762,,1695.0,3.0,,17.0,645.0,Item do not show,2021-06-10,Offered,N / A
852,13791,,1568.0,,0.0,6.0,760.0,Item do not show,2021-07-29,Offered,N / A
853,13519,,1566.0,3.0,0.0,19.0,972.0,Compromited account,2021-06-28,Offered,N / A
856,13885,,1781.0,4.0,0.0,3.0,935.0,Wrong password,2021-07-01,Offered,N / A
859,10854,,1411.0,2.0,0.0,18.0,595.0,Wrong password,2021-06-20,Offered,N / A
872,12757,,1688.0,1.0,1.0,8.0,15.0,Payment processing,2021-06-23,Offered,N / A
874,12169,,2028.0,4.0,0.0,4.0,529.0,Wrong password,2021-06-12,Offered,
878,12164,,1770.0,2.0,0.0,4.0,97.0,Wrong password,2021-06-16,Offered,N / A
881,11603,,1947.0,3.0,0.0,16.0,624.0,Item do not show,2021-07-23,Offered,
884,10827,,1532.0,3.0,0.0,15.0,858.0,Wrong password,2021-06-05,Offered,
885,12658,,1360.0,3.0,0.0,7.0,199.0,Item do not show,2021-06-28,Offered,N / A
891,11170,,1411.0,2.0,0.0,9.0,112.0,Payment processing,2021-05-24,Offered,
894,14210,,1580.0,5.0,0.0,10.0,122.0,Wrong password,2021-06-16,Offered,
895,10556,,1583.0,7.0,0.0,2.0,385.0,Payment processing,2021-05-25,Offered,
899,15606,,1746.0,2.0,0.0,20.0,776.0,Cheating,2021-06-06,Offered,
900,14970,,1583.0,2.0,0.0,8.0,132.0,Wrong password,2021-06-27,Offered,
902,10176,,1583.0,2.0,0.0,4.0,265.0,Cheating,2021-07-24,Offered,N / A
906,10629,,1754.0,1.0,1.0,6.0,56.0,Compromited account,2021-05-15,Offered,
907,11669,,1319.0,3.0,0.0,9.0,268.0,Wrong password,2021-07-16,Offered,
908,12154,,1535.0,2.0,0.0,7.0,278.0,Payment processing,2021-05-14,Offered,
912,11786,,1929.0,1.0,1.0,9.0,256.0,Item do not show,2021-05-17,Offered,N / A
915,15613,,2019.0,,0.0,11.0,715.0,,2021-07-28,Offered,
920,10439,,1438.0,4.0,0.0,6.0,105.0,Wrong password,2021-06-22,Offered,
923,10912,,1535.0,4.0,0.0,7.0,626.0,Wrong password,2021-06-25,Offered,
929,11142,,1646.0,1.0,1.0,7.0,97.0,Item do not show,2021-05-24,Offered,
930,13266,,1377.0,1.0,1.0,15.0,548.0,Payment processing,2021-05-30,Offered,N / A
934,11226,,1519.0,,0.0,24.0,239.0,Compromited account,2021-06-16,Offered,N / A
937,14574,,1248.0,3.0,0.0,8.0,161.0,Payment processing,2021-07-30,Offered,N / A
938,11695,,1384.0,5.0,0.0,6.0,,,2021-06-08,Offered,N / A
940,11191,,1519.0,,0.0,10.0,249.0,Item do not show,2021-08-07,Offered,N / A
952,11289,,1548.0,,0.0,8.0,37.0,Item do not show,2021-06-27,Offered,
955,10798,,1899.0,,0.0,16.0,575.0,Item do not show,2021-06-03,Offered,
964,14483,,1400.0,4.0,0.0,17.0,797.0,,2021-05-12,Offered,
968,10169,,1929.0,3.0,0.0,11.0,611.0,Wrong password,2021-07-06,Offered,N / A
970,13920,,1857.0,3.0,0.0,11.0,667.0,Payment processing,2021-07-07,Offered,N / A
972,14221,,1697.0,1.0,1.0,2.0,138.0,Item do not show,2021-07-19,Offered,
976,10747,,1819.0,3.0,0.0,3.0,40.0,Wrong password,2021-07-24,Offered,
981,11342,,1746.0,7.0,0.0,14.0,999.0,Compromited account,2021-07-08,Offered,
982,11216,,1899.0,2.0,0.0,3.0,191.0,Payment processing,2021-07-24,Offered,N / A
984,13733,,1857.0,5.0,0.0,5.0,,Wrong password,2021-07-11,Offered,
995,13078,,1754.0,3.0,0.0,2.0,111.0,Compromited account,2021-05-26,Offered,
998,12287,,1568.0,3.0,0.0,18.0,764.0,Wrong password,2021-07-31,Offered,N / A
1003,11493,,1317.0,2.0,0.0,7.0,144.0,Payment processing,2021-07-06,Offered,
1004,15098,,1746.0,3.0,0.0,7.0,91.0,Item do not show,,Offered,
1006,12271,,1390.0,3.0,0.0,8.0,775.0,Item do not show,2021-06-20,Offered,
1015,13268,,1967.0,2.0,0.0,4.0,135.0,Compromited account,2021-06-02,Offered,
1021,12865,,1414.0,2.0,0.0,20.0,928.0,Cheating,2021-07-25,Offered,N / A
1024,10807,,1568.0,2.0,0.0,5.0,63.0,Cheating,,Offered,
1040,11435,,1548.0,1.0,1.0,12.0,499.0,,2021-08-04,Offered,
1041,15035,,1648.0,1.0,1.0,4.0,240.0,Payment processing,2021-07-05,Offered,
1048,13934,,1819.0,2.0,0.0,11.0,925.0,Item do not show,2021-07-16,Offered,N / A
1049,14984,,1857.0,,0.0,6.0,762.0,Wrong password,2021-05-20,Offered,N / A
1050,13976,,1663.0,3.0,0.0,12.0,438.0,Item do not show,2021-05-30,Offered,
1051,15578,,1837.0,5.0,0.0,8.0,315.0,Compromited account,2021-05-30,Offered,N / A
1052,14091,,1319.0,3.0,0.0,5.0,267.0,Payment processing,,Offered,
1059,11644,,1473.0,2.0,0.0,15.0,256.0,Wrong password,2021-05-30,Offered,N / A
1060,14280,,1837.0,5.0,0.0,6.0,197.0,Wrong password,2021-07-08,Offered,N / A
1065,10932,,1921.0,2.0,0.0,4.0,326.0,,2021-08-19,Offered,N / A
1068,15311,,1746.0,,0.0,4.0,152.0,Wrong password,2021-07-02,Offered,N / A
1070,10909,,1532.0,1.0,1.0,20.0,479.0,Wrong password,2021-06-10,Offered,
1071,12514,,1426.0,1.0,1.0,7.0,337.0,Wrong password,2021-06-04,Offered,
1072,14128,,1812.0,2.0,0.0,2.0,623.0,Item do not show,2021-07-29,Offered,
1073,11775,,1947.0,2.0,0.0,5.0,171.0,Payment processing,2021-05-12,Offered,
1084,11222,,1996.0,2.0,0.0,9.0,769.0,Wrong password,2021-07-07,Offered,N / A
1088,15646,,1857.0,2.0,,6.0,496.0,Payment processing,2021-08-11,Offered,N / A
