,ticket_number,resolution,agentid,cpc,firstcontactresolution,fullresolutiontime,replytime,problem,ticketcreationdate,satisfaction,comment
89,12908,1.0,1726.0,2.0,0.0,2.0,1009.0,Wrong password,2021-07-03,Bad,slow career mode
90,14228,1.0,1522.0,6.0,0.0,9.0,358.0,Wrong password,2021-08-21,Good,modo profesional eficiente
91,14339,1.0,1400.0,3.0,0.0,15.0,523.0,Payment processing,2021-08-16,Bad,bad agent's behavior
92,10262,1.0,1435.0,5.0,0.0,12.0,511.0,Item do not show,2021-07-12,Bad,I do not like agent's communication
93,14772,0.0,1267.0,3.0,0.0,2.0,679.0,Cheating,2021-05-26,Bad,
94,11704,0.0,1985.0,2.0,0.0,9.0,609.0,,2021-05-24,Bad,Slow ..... Service !!!
95,12027,1.0,1336.0,4.0,0.0,7.0,847.0,Payment processing,2021-05-12,Bad,unsatisfactory player mode
97,11135,1.0,1929.0,4.0,0.0,4.0,124.0,Payment processing,2021-08-21,Good,Increíble servicio !!!
98,11331,0.0,1648.0,1.0,1.0,9.0,608.0,Compromited account,2021-07-06,Bad,unpleasant experience
99,11743,1.0,1947.0,2.0,0.0,3.0,159.0,Payment processing,2021-05-22,Good,i like game
100,11072,1.0,1411.0,2.0,0.0,10.0,882.0,Payment processing,2021-05-16,Bad,"inefficient solution,"
101,10471,1.0,1341.0,5.0,,2.0,18.0,Payment processing,2021-06-01,Good,Artículo increíble
102,10640,1.0,1646.0,2.0,0.0,11.0,306.0,Payment processing,2021-06-18,Bad,inefficient career mode
104,14053,1.0,1648.0,2.0,0.0,5.0,127.0,Wrong password,2021-05-24,Good,pleasant item
107,14154,1.0,1519.0,2.0,0.0,13.0,,Payment processing,2021-06-25,Good,wonderful agents behavior
108,13966,1.0,1360.0,2.0,0.0,5.0,304.0,,2021-08-09,Good,amazing career mode
109,11870,1.0,2028.0,5.0,0.0,10.0,122.0,Payment processing,2021-06-21,Good,quick delivery.
111,11920,1.0,1580.0,1.0,1.0,4.0,1125.0,Wrong password,2021-08-08,Bad,Je n'aime pas les services!
112,14905,0.0,1571.0,2.0,0.0,11.0,491.0,Payment processing,2021-05-27,Bad,N / A
115,11050,0.0,1710.0,1.0,1.0,10.0,710.0,Cheating,2021-06-04,Bad,Services à uselous
116,13905,1.0,1522.0,4.0,0.0,6.0,769.0,Wrong password,2021-07-09,Bad,Je n'aime pas le comportement de l'agent
118,15416,1.0,1473.0,3.0,0.0,5.0,111.0,Payment processing,2021-05-22,Good,nice process
119,14068,1.0,1400.0,2.0,0.0,8.0,586.0,Wrong password,2021-08-08,Bad,"uselless solution,"
120,14581,1.0,1754.0,4.0,0.0,3.0,390.0,Wrong password,2021-07-25,Bad,unreliable web-site
121,11236,1.0,1746.0,3.0,0.0,9.0,863.0,,2021-07-13,Bad,
123,12375,1.0,1812.0,2.0,0.0,11.0,,Wrong password,2021-06-12,Good,i like agent`s behavior
124,10532,1.0,1359.0,2.0,0.0,8.0,301.0,Wrong password,2021-06-11,Good,Welldone: Entrega !!
126,15652,1.0,1377.0,3.0,0.0,17.0,538.0,Wrong password,2021-07-16,Bad,I dont like product
127,14341,1.0,1947.0,4.0,0.0,20.0,,Wrong password,2021-05-13,Bad,N / A
128,13335,1.0,1754.0,4.0,0.0,13.0,221.0,Item do not show,2021-08-05,Good,quick player mode
129,14110,1.0,1926.0,1.0,1.0,3.0,176.0,Payment processing,2021-07-04,Good,good experience
130,11706,1.0,1438.0,4.0,0.0,5.0,198.0,Payment processing,2021-05-14,Good,Produit sympae
132,10460,1.0,1360.0,3.0,0.0,9.0,103.0,Compromited account,2021-07-27,Good,Le comportement de l'agent rapide
134,11878,1.0,1360.0,5.0,0.0,2.0,101.0,Payment processing,2021-06-09,Good,Résolution incroyable ...
135,12837,1.0,1384.0,1.0,1.0,5.0,207.0,Wrong password,2021-07-08,Good,"clear solution,"
139,14800,1.0,1340.0,3.0,0.0,6.0,841.0,Compromited account,2021-07-05,Bad,awful delivery!!
140,11551,1.0,1414.0,4.0,0.0,11.0,,Wrong password,2021-06-05,Bad,confusing services!
141,10289,0.0,1817.0,4.0,0.0,21.0,450.0,Cheating,2021-08-20,Bad,unreliable... delivery
142,14661,1.0,1819.0,1.0,1.0,3.0,,Item do not show,,Good,I like product
143,12953,1.0,1688.0,4.0,0.0,4.0,556.0,Item do not show,2021-08-17,Bad,unpleasant agents behavior
145,13551,1.0,1580.0,2.0,0.0,7.0,97.0,Wrong password,2021-06-29,Good,good resolution...
146,11901,1.0,2019.0,1.0,1.0,2.0,74.0,Payment processing,2021-06-28,Good,effacer l'article
147,13594,1.0,1426.0,1.0,1.0,11.0,473.0,Wrong password,2021-05-30,Bad,confusing experience
148,12750,1.0,1522.0,4.0,0.0,5.0,614.0,Wrong password,,Bad,
151,12843,1.0,1377.0,5.0,0.0,5.0,180.0,Payment processing,2021-06-16,Good,Comportement des agents nice
152,10410,0.0,1688.0,1.0,1.0,13.0,459.0,Compromited account,2021-06-05,Bad,Livraison peu fiable !!
153,11637,1.0,1336.0,2.0,0.0,16.0,477.0,Payment processing,2021-08-09,Bad,Comunicación de agentes desagradables
154,12267,1.0,1340.0,2.0,0.0,6.0,145.0,Item do not show,2021-08-22,Good,reliable game
155,10407,1.0,1532.0,1.0,1.0,6.0,71.0,Payment processing,2021-05-18,Good,reliable delivery!!
156,12361,1.0,1580.0,1.0,1.0,4.0,256.0,Payment processing,2021-08-03,Good,useful agent
157,15037,1.0,1648.0,2.0,0.0,4.0,194.0,Payment processing,2021-07-01,Good,N / A
158,12662,1.0,1692.0,1.0,1.0,6.0,29.0,Wrong password,2021-06-02,Good,precise game
159,12528,1.0,2028.0,3.0,0.0,23.0,517.0,Payment processing,2021-08-21,Bad,I do not like agent`s communication
160,13607,1.0,1949.0,4.0,0.0,8.0,759.0,Payment processing,2021-08-07,Bad,mauvaise résolution ...
161,10888,0.0,1947.0,4.0,0.0,12.0,573.0,Item do not show,2021-06-07,Bad,unpleasant website
162,13170,1.0,1477.0,2.0,,5.0,50.0,Wrong password,2021-08-03,Good,buen agente
163,13035,1.0,1710.0,5.0,0.0,3.0,125.0,Payment processing,2021-07-29,Good,clear service
164,10199,1.0,1427.0,2.0,0.0,3.0,119.0,Wrong password,2021-07-30,Good,well done services
165,11745,1.0,1697.0,2.0,0.0,3.0,548.0,Payment processing,2021-05-15,Bad,juego duro
167,10307,1.0,1656.0,1.0,1.0,3.0,92.0,Wrong password,2021-07-08,Good,grand agent
168,11910,1.0,1360.0,1.0,1.0,10.0,226.0,Wrong password,2021-08-17,Good,satisfactory resolution
169,12959,1.0,1819.0,2.0,0.0,17.0,817.0,Payment processing,2021-07-26,Bad,unpleasant resolution...
170,12376,0.0,1817.0,1.0,1.0,10.0,586.0,Cheating,2021-06-22,Bad,Comunicación de agentes duros
171,14322,1.0,1806.0,3.0,0.0,7.0,68.0,,2021-07-10,Good,quick agents communication
174,15659,1.0,1770.0,3.0,0.0,6.0,335.0,Item do not show,2021-06-09,Bad,unpleasant resolution...
175,10565,0.0,1427.0,3.0,0.0,8.0,575.0,Item do not show,2021-05-23,Bad,No me gusta la resolución ...
176,10238,1.0,2019.0,2.0,0.0,20.0,430.0,Wrong password,2021-05-15,Bad,slow..... agent's communication
177,14966,1.0,1377.0,2.0,0.0,8.0,135.0,Payment processing,2021-06-10,Good,reliable player mode
179,14220,1.0,1400.0,5.0,0.0,8.0,462.0,Wrong password,2021-05-19,Bad,disappointing agents behavior
181,11285,0.0,1646.0,3.0,0.0,25.0,602.0,Compromited account,2021-07-22,Bad,No me gusta la solución
183,13606,1.0,1535.0,3.0,0.0,7.0,549.0,Wrong password,2021-07-12,Bad,jeu inutile
184,12921,1.0,1414.0,3.0,0.0,7.0,,Item do not show,2021-08-13,Good,¡increíble! Comportamiento del agente
185,13778,1.0,1929.0,2.0,0.0,6.0,180.0,Item do not show,2021-05-12,Good,welldone: process
186,13836,1.0,1317.0,3.0,0.0,6.0,125.0,Wrong password,,Good,Le comportement de l'agent merveilleux
187,15525,0.0,1287.0,5.0,0.0,6.0,1381.0,Wrong password,2021-07-27,Bad,Produit décevant!
190,14901,1.0,1813.0,4.0,0.0,2.0,185.0,Wrong password,2021-08-22,Good,"well done, service"
191,15313,1.0,1477.0,2.0,0.0,11.0,612.0,Wrong password,2021-05-29,Bad,slow services
193,14175,1.0,1566.0,1.0,1.0,,133.0,Payment processing,2021-07-31,Good,Produit utile!
195,14020,1.0,1663.0,1.0,1.0,4.0,1037.0,Wrong password,2021-06-08,Bad,inefficient agent`s behavior
196,15512,1.0,1921.0,3.0,0.0,,114.0,Item do not show,2021-05-12,Good,welldone: delivery
197,13595,1.0,1580.0,2.0,0.0,9.0,444.0,,2021-05-16,Bad,unreliable resolution...
198,13524,1.0,1359.0,1.0,1.0,2.0,295.0,Wrong password,2021-06-11,Good,precise agent`s behavior
199,11707,1.0,1341.0,5.0,0.0,11.0,425.0,,2021-06-07,Bad,Mal comportamiento de los agentes
200,10651,1.0,1710.0,2.0,0.0,5.0,,Payment processing,2021-05-19,Good,welldone: delivery
202,12364,1.0,1812.0,1.0,1.0,5.0,89.0,Payment processing,2021-08-15,Good,Gran comportamiento de los agentes
203,14798,1.0,1363.0,2.0,0.0,4.0,159.0,Item do not show,2021-07-28,Good,great service!!!
204,12788,1.0,1671.0,2.0,0.0,6.0,479.0,Wrong password,2021-06-28,Bad,"solution irréalisable,"
206,10778,1.0,1692.0,2.0,0.0,13.0,873.0,Wrong password,2021-08-15,Bad,I do not like resolution
207,13770,1.0,1522.0,4.0,0.0,15.0,779.0,Wrong password,2021-07-27,Bad,expérience sévère
208,13845,1.0,1531.0,2.0,0.0,7.0,961.0,Payment processing,2021-05-25,Bad,Resolución ineficiente ...
209,13407,1.0,1996.0,5.0,0.0,6.0,89.0,Wrong password,2021-07-13,Good,Me gusta la entrega
210,13883,0.0,1384.0,2.0,0.0,3.0,183.0,,2021-08-10,Good,gran juego
211,13018,1.0,1438.0,3.0,0.0,7.0,378.0,Wrong password,2021-07-24,Bad,awful resolution...
212,10384,1.0,1267.0,2.0,0.0,6.0,183.0,Payment processing,2021-07-18,Good,wonderful product
213,10293,1.0,1248.0,3.0,0.0,10.0,671.0,Item do not show,2021-06-11,Bad,unclear agents communication
214,14036,1.0,1781.0,2.0,0.0,5.0,620.0,Wrong password,2021-05-14,Bad,Résolution insatisfaisante
216,10455,1.0,1759.0,2.0,0.0,6.0,85.0,Wrong password,2021-08-13,Good,
217,10223,1.0,1719.0,1.0,1.0,4.0,110.0,Wrong password,2021-06-16,Good,great agents communication
220,10935,0.0,1695.0,3.0,,9.0,625.0,Item do not show,2021-06-11,Bad,modo de reproductor poco claro
223,10857,1.0,1926.0,7.0,0.0,5.0,88.0,Item do not show,2021-05-19,Good,fantastic website
224,10918,1.0,1777.0,2.0,0.0,5.0,27.0,Payment processing,2021-06-26,Good,well done services!
225,12879,1.0,1350.0,2.0,0.0,3.0,257.0,Payment processing,2021-06-13,Good,well done agent
226,11090,1.0,1710.0,1.0,1.0,2.0,74.0,Payment processing,2021-07-02,Good,élément rapide
227,10323,1.0,1548.0,3.0,0.0,,189.0,Wrong password,2021-05-18,Good,well done career mode
228,11945,1.0,1341.0,4.0,0.0,8.0,145.0,Wrong password,2021-05-25,Good,Increíble servicio !!!
230,14172,1.0,1646.0,1.0,1.0,5.0,186.0,Payment processing,2021-05-18,Good,nice resolution...
231,14588,1.0,1568.0,3.0,0.0,2.0,201.0,Payment processing,2021-08-19,Good,nice delivery!!
232,14899,1.0,1648.0,2.0,0.0,9.0,210.0,Payment processing,2021-06-10,Good,"amazing! solution,"
233,12031,1.0,1435.0,4.0,0.0,3.0,203.0,Compromited account,2021-06-10,Good,service rapide!!!
234,12827,1.0,2028.0,3.0,0.0,13.0,201.0,Payment processing,2021-06-17,Good,"Fantástica solución,"
235,14285,0.0,1390.0,4.0,0.0,9.0,211.0,Compromited account,2021-07-10,Good,reliable agents behavior
236,10764,1.0,1726.0,2.0,0.0,9.0,84.0,Payment processing,2021-06-27,Good,efficient website
238,15083,1.0,1336.0,3.0,0.0,5.0,239.0,Item do not show,2021-06-01,Good,Comportement des agents eficientes
240,15432,1.0,1781.0,1.0,1.0,24.0,468.0,Item do not show,2021-05-18,Bad,unrealiable resolution
241,12412,1.0,1377.0,4.0,0.0,5.0,157.0,Wrong password,2021-05-26,Good,Beau match
242,11300,1.0,1319.0,3.0,0.0,12.0,204.0,Payment processing,2021-07-31,Good,well done services
243,13033,1.0,1358.0,5.0,0.0,16.0,795.0,Payment processing,2021-06-05,Bad,unreliable... resolution...
244,15566,1.0,1531.0,1.0,1.0,4.0,311.0,Payment processing,2021-08-07,Good,good item
246,12540,1.0,1671.0,4.0,0.0,19.0,504.0,Payment processing,2021-07-21,Bad,agente lento
250,11239,0.0,1949.0,1.0,1.0,8.0,577.0,Compromited account,2021-08-23,Bad,experiencia confusa
251,12117,1.0,1411.0,5.0,0.0,5.0,557.0,Wrong password,2021-07-15,Bad,Slow ..... Services!
252,15518,1.0,1267.0,1.0,,2.0,55.0,,2021-07-17,Good,Resolución precisa ...
253,10872,1.0,1360.0,1.0,1.0,2.0,70.0,Wrong password,2021-06-10,Good,résolution claire
254,10997,1.0,1663.0,3.0,0.0,2.0,55.0,Wrong password,2021-05-25,Good,nice process
256,11091,1.0,1412.0,2.0,0.0,10.0,89.0,Payment processing,2021-07-09,Good,good agent
257,12268,1.0,1719.0,3.0,0.0,6.0,135.0,Wrong password,2021-06-04,Good,Me gusta el comportamiento de los agentes
258,14456,0.0,1340.0,1.0,1.0,8.0,89.0,Item do not show,2021-08-11,Bad,artículo poco confiable
262,13247,1.0,1568.0,5.0,0.0,8.0,1186.0,Payment processing,2021-06-08,Bad,horrible expérience
264,15288,1.0,1663.0,3.0,0.0,9.0,263.0,Wrong password,2021-07-17,Good,nice agent`s behavior
265,12284,1.0,1341.0,2.0,0.0,32.0,890.0,Payment processing,,Bad,I don't like experience
266,11326,0.0,1531.0,2.0,0.0,7.0,305.0,Wrong password,2021-05-18,Good,fantástico sitio web
267,11741,1.0,1350.0,4.0,0.0,9.0,583.0,Wrong password,,Bad,experiencia confusa
268,11400,0.0,1438.0,2.0,0.0,4.0,134.0,Compromited account,,Good,Communication de l'agent incroyable
269,11936,1.0,1671.0,2.0,0.0,7.0,187.0,,2021-08-19,Good,eficient agents communication
271,11748,0.0,1936.0,1.0,,16.0,638.0,Compromited account,2021-06-20,Bad,Entrega insatisfactoria !!
272,14038,1.0,1340.0,2.0,0.0,2.0,98.0,Payment processing,2021-07-05,Good,amazing delivery!!
273,13745,1.0,1967.0,2.0,0.0,6.0,302.0,Wrong password,2021-05-28,Good,amazing experience
277,14549,1.0,1340.0,2.0,0.0,10.0,67.0,Wrong password,2021-06-03,Good,maravillosa solución
278,11414,1.0,1360.0,4.0,0.0,18.0,824.0,Item do not show,2021-05-16,Bad,slow..... agent's communication
279,10549,1.0,1477.0,2.0,0.0,17.0,109.0,Payment processing,2021-08-02,Good,"Bien hecho, producto!"
281,13955,1.0,1340.0,2.0,0.0,3.0,228.0,Payment processing,2021-05-13,Good,expérience fantastique
282,11184,0.0,1426.0,5.0,0.0,3.0,747.0,Item do not show,2021-08-09,Bad,N / A
283,10910,1.0,1384.0,1.0,1.0,7.0,74.0,Payment processing,2021-07-27,Good,comportement d'agent satisfaisant
284,10739,1.0,1892.0,4.0,0.0,6.0,131.0,,2021-07-14,Bad,Je n'aime pas la communication des agents
285,10927,1.0,1985.0,2.0,0.0,2.0,,Payment processing,2021-06-10,Good,welldone: solution
286,11825,0.0,1568.0,3.0,0.0,5.0,277.0,Wrong password,2021-07-14,Good,livraison satisfaisante
287,13669,1.0,1412.0,2.0,,11.0,254.0,Wrong password,2021-07-04,Good,entrega satisfactoria
288,13549,1.0,1813.0,4.0,0.0,5.0,293.0,Item do not show,2021-05-29,Good,"solución útil,"
289,12682,1.0,1580.0,4.0,0.0,11.0,210.0,Payment processing,2021-05-11,Good,amazing! player mode
290,11069,1.0,1360.0,2.0,0.0,10.0,,Payment processing,2021-05-26,Good,amazing! agents communication
291,11363,1.0,1341.0,3.0,0.0,8.0,1135.0,Payment processing,2021-06-07,Bad,inefficient service
292,14233,1.0,1571.0,3.0,0.0,14.0,916.0,Wrong password,2021-06-21,Bad,unreliable... service
297,10277,1.0,1340.0,1.0,1.0,13.0,832.0,Item do not show,,Bad,"unreliable... solution,"
301,15172,1.0,1319.0,4.0,,20.0,518.0,Payment processing,2021-08-06,Bad,poco confiable ... comportamiento del agente
304,12601,1.0,1967.0,3.0,0.0,8.0,251.0,,2021-07-27,Good,precise product
305,10164,0.0,1929.0,2.0,,,343.0,Cheating,2021-08-11,Bad,No me gusta la entrega
306,13288,1.0,1697.0,3.0,0.0,4.0,679.0,Wrong password,2021-06-29,Bad,I dont like service!!!
307,12447,0.0,1585.0,3.0,0.0,4.0,665.0,Cheating,2021-08-03,Bad,confusing process
308,15456,0.0,1363.0,3.0,0.0,8.0,,Cheating,2021-05-17,Good,"well done, agent`s communication"
309,10377,0.0,1754.0,2.0,0.0,5.0,852.0,Compromited account,2021-05-12,Bad,¡Producto poco claro!
310,15155,1.0,1548.0,2.0,0.0,12.0,443.0,Wrong password,2021-08-02,Bad,sitio web poco confiable
311,14823,1.0,1746.0,1.0,1.0,5.0,350.0,Wrong password,2021-06-07,Bad,N / A
313,11952,1.0,1985.0,5.0,0.0,5.0,12.0,Payment processing,2021-08-13,Good,fast player mode
314,12946,1.0,1817.0,2.0,0.0,7.0,212.0,Cheating,2021-05-24,Good,pleasant agent`s communication
317,11934,1.0,1781.0,2.0,0.0,8.0,186.0,Compromited account,2021-07-01,Good,Comportamiento del agente fantástico
318,11525,1.0,1477.0,2.0,0.0,2.0,39.0,Item do not show,2021-07-12,Good,N / A
321,12143,1.0,1503.0,5.0,0.0,3.0,173.0,Item do not show,2021-05-21,Good,wonderful services!
322,12794,1.0,1746.0,2.0,0.0,11.0,981.0,Wrong password,2021-06-06,Bad,I do not like agent`s behavior
324,13326,1.0,1726.0,2.0,0.0,7.0,217.0,Payment processing,,Good,fantastic career mode
325,11835,1.0,1341.0,5.0,,15.0,85.0,Payment processing,2021-07-16,Good,¡Servicios rápidos!
327,12680,1.0,1806.0,1.0,1.0,5.0,175.0,Wrong password,2021-06-09,Good,amazing! delivery
328,11223,0.0,1267.0,1.0,1.0,11.0,581.0,Cheating,2021-06-27,Bad,servicios insatisfactorios
330,14170,1.0,1967.0,3.0,0.0,5.0,149.0,Wrong password,2021-08-13,Good,Borrar sitio web
331,12647,0.0,2019.0,5.0,0.0,10.0,503.0,Item do not show,2021-07-23,Bad,unreliable agent's communication
334,13513,1.0,1435.0,2.0,0.0,3.0,541.0,Item do not show,2021-08-03,Bad,"slow..... solution,"
335,13994,1.0,1532.0,1.0,1.0,7.0,194.0,Payment processing,2021-08-03,Good,"Bravo, le comportement de l'agent"
336,11639,1.0,1319.0,2.0,0.0,12.0,775.0,Item do not show,2021-06-25,Bad,useless agent's communication
337,12022,1.0,1435.0,4.0,0.0,10.0,184.0,Wrong password,2021-08-16,Good,reliable experience
338,15270,0.0,1341.0,1.0,1.0,,46.0,Cheating,2021-07-31,Good,produit étonnant
340,15168,1.0,1710.0,2.0,0.0,11.0,286.0,Payment processing,2021-05-14,Good,reliable agents behavior
341,12341,1.0,1566.0,3.0,0.0,,82.0,Payment processing,2021-08-18,Good,Maravillosa entrega.
342,10765,1.0,1350.0,3.0,0.0,6.0,449.0,Payment processing,2021-08-15,Good,welldone: experience
343,15548,1.0,1473.0,3.0,0.0,7.0,523.0,Item do not show,2021-08-12,Bad,unpleasant service
344,14845,1.0,1548.0,1.0,1.0,8.0,48.0,Wrong password,2021-08-15,Good,pleasant delivery!!
345,12454,1.0,1837.0,2.0,0.0,3.0,46.0,Payment processing,2021-05-16,Good,reliable experience
347,12160,1.0,1770.0,3.0,0.0,,1066.0,Wrong password,2021-05-17,Bad,unreliable delivery!!
348,11583,1.0,1899.0,3.0,0.0,9.0,732.0,Payment processing,2021-06-27,Bad,unreliable agent's behavior
349,11100,1.0,1671.0,1.0,1.0,15.0,530.0,Item do not show,2021-07-06,Bad,unsatisfactory service!!!
350,10368,1.0,1377.0,1.0,1.0,12.0,,Wrong password,2021-07-17,Bad,unsatisfactory agent`s communication
352,10881,1.0,1646.0,3.0,0.0,5.0,205.0,Item do not show,2021-08-11,Good,amazing! career mode
353,14734,0.0,1473.0,2.0,0.0,10.0,540.0,Cheating,2021-08-07,Bad,unreliable agent's communication
354,14237,1.0,1746.0,3.0,0.0,,75.0,,2021-06-02,Good,fast resolution...
356,15330,1.0,1411.0,1.0,1.0,9.0,356.0,,2021-06-21,Bad,sitio web ineficiente
357,13179,0.0,1337.0,3.0,0.0,17.0,895.0,Cheating,2021-05-16,Bad,lento ... agente
358,12344,0.0,1566.0,1.0,1.0,6.0,530.0,Wrong password,2021-06-07,Bad,Comunicación del agente decepcionante
360,14528,0.0,1566.0,4.0,0.0,4.0,558.0,Cheating,2021-07-06,Bad,Solución de uselless
361,12728,1.0,1548.0,1.0,1.0,9.0,144.0,,2021-07-25,Good,welldone: agents communication
