,ticket_number,resolution,agentid,cpc,firstcontactresolution,fullresolutiontime,replytime,problem,ticketcreationdate,satisfaction,comment,agent_startingdate,agent_country,agent_education,agent_daysonrole
65,14772,0.0,1267.0,3.0,0.0,2.0,679.0,Cheating,2021-05-26,Bad,,2014-05-11,Brazil,Humanities,2572.0
66,11704,0.0,1985.0,2.0,0.0,9.0,609.0,,2021-05-24,Bad,Slow ..... Service !!!,2016-11-21,Argentina,Humanities,1645.0
67,12027,1.0,1336.0,4.0,0.0,7.0,847.0,Payment processing,2021-05-12,Bad,unsatisfactory player mode,2020-10-10,Serbia,Other,214.0
68,11135,1.0,1929.0,4.0,0.0,4.0,124.0,Payment processing,2021-08-21,Good,Increíble servicio !!!,2020-08-12,Serbia,Other,374.0
69,11331,0.0,1648.0,1.0,1.0,9.0,608.0,Compromited account,2021-07-06,Bad,unpleasant experience,2014-10-13,Turkey,Arts,2458.0
70,11743,1.0,1947.0,2.0,0.0,3.0,159.0,Payment processing,2021-05-22,Good,i like game,2017-07-27,Honduras,Law,1395.0
71,11072,1.0,1411.0,2.0,0.0,10.0,882.0,Payment processing,2021-05-16,Bad,"inefficient solution,",2016-12-29,Hungary,Economics,1599.0
72,10471,1.0,1341.0,5.0,,2.0,18.0,Payment processing,2021-06-01,Good,Artículo increíble,2016-03-16,Honduras,Other,1903.0
73,10640,1.0,1646.0,2.0,0.0,11.0,306.0,Payment processing,2021-06-18,Bad,inefficient career mode,2017-06-14,Serbia,Language & Literature,1465.0
74,14053,1.0,1648.0,2.0,0.0,5.0,127.0,Wrong password,2021-05-24,Good,pleasant item,2014-10-13,Turkey,Arts,2415.0
75,14154,1.0,1519.0,2.0,0.0,13.0,,Payment processing,2021-06-25,Good,wonderful agents behavior,2018-08-29,Serbia,Other,1031.0
76,13966,1.0,1360.0,2.0,0.0,5.0,304.0,,2021-08-09,Good,amazing career mode,2017-12-26,Argentina,Law,1322.0
77,11870,1.0,2028.0,5.0,0.0,10.0,122.0,Payment processing,2021-06-21,Good,quick delivery.,2015-06-25,United States,Other,2188.0
78,11920,1.0,1580.0,1.0,1.0,4.0,1125.0,Wrong password,2021-08-08,Bad,Je n'aime pas les services!,2020-03-05,Turkey,Engineering,521.0
79,14905,0.0,1571.0,2.0,0.0,11.0,491.0,Payment processing,2021-05-27,Bad,N / A,2014-12-16,Turkey,Language & Literature,2354.0
80,11050,0.0,1710.0,1.0,1.0,10.0,710.0,Cheating,2021-06-04,Bad,Services à uselous,2019-05-10,Netherlands,Other,756.0
81,13905,1.0,1522.0,4.0,0.0,6.0,769.0,Wrong password,2021-07-09,Bad,Je n'aime pas le comportement de l'agent,2016-01-22,Brazil,Other,1995.0
82,15416,1.0,1473.0,3.0,0.0,5.0,111.0,Payment processing,2021-05-22,Good,nice process,2015-09-05,Netherlands,Engineering,2086.0
83,14068,1.0,1400.0,2.0,0.0,8.0,586.0,Wrong password,2021-08-08,Bad,"uselless solution,",2019-10-07,Argentina,IT,671.0
84,14581,1.0,1754.0,4.0,0.0,3.0,390.0,Wrong password,2021-07-25,Bad,unreliable web-site,2018-12-08,Turkey,Humanities,960.0
85,11236,1.0,1746.0,3.0,0.0,9.0,863.0,,2021-07-13,Bad,,2014-11-07,Honduras,Engineering,2440.0
86,12375,1.0,1812.0,2.0,0.0,11.0,,Wrong password,2021-06-12,Good,i like agent`s behavior,2019-07-18,Serbia,Other,695.0
87,10532,1.0,1359.0,2.0,0.0,8.0,301.0,Wrong password,2021-06-11,Good,Welldone: Entrega !!,2015-09-05,Serbia,Other,2106.0
88,15652,1.0,1377.0,3.0,0.0,17.0,538.0,Wrong password,2021-07-16,Bad,I dont like product,2015-06-18,Hungary,Engineering,2220.0
89,14341,1.0,1947.0,4.0,0.0,20.0,,Wrong password,2021-05-13,Bad,N / A,2017-07-27,Honduras,Law,1386.0
90,13335,1.0,1754.0,4.0,0.0,13.0,221.0,Item do not show,2021-08-05,Good,quick player mode,2018-12-08,Turkey,Humanities,971.0
91,14110,1.0,1926.0,1.0,1.0,3.0,176.0,Payment processing,2021-07-04,Good,good experience,2016-04-07,Hungary,Arts,1914.0
92,11706,1.0,1438.0,4.0,0.0,5.0,198.0,Payment processing,2021-05-14,Good,Produit sympae,2020-05-30,Honduras,Other,349.0
93,10460,1.0,1360.0,3.0,0.0,9.0,103.0,Compromited account,2021-07-27,Good,Le comportement de l'agent rapide,2017-12-26,Argentina,Law,1309.0
94,11878,1.0,1360.0,5.0,0.0,2.0,101.0,Payment processing,2021-06-09,Good,Résolution incroyable ...,2017-12-26,Argentina,Law,1261.0
95,12837,1.0,1384.0,1.0,1.0,5.0,207.0,Wrong password,2021-07-08,Good,"clear solution,",2018-06-10,United States,Humanities,1124.0
96,14800,1.0,1340.0,3.0,0.0,6.0,841.0,Compromited account,2021-07-05,Bad,awful delivery!!,2018-01-13,Spain,Language & Literature,1269.0
97,11551,1.0,1414.0,4.0,0.0,11.0,,Wrong password,2021-06-05,Bad,confusing services!,2019-07-10,Brazil,Language & Literature,696.0
98,10289,0.0,1817.0,4.0,0.0,21.0,450.0,Cheating,2021-08-20,Bad,unreliable... delivery,2019-05-08,Argentina,Other,835.0
99,14661,1.0,1819.0,1.0,1.0,3.0,,Item do not show,,Good,I like product,2017-10-27,Spain,Economics,
100,12953,1.0,1688.0,4.0,0.0,4.0,556.0,Item do not show,2021-08-17,Bad,unpleasant agents behavior,2016-05-15,Netherlands,Humanities,1920.0
101,13551,1.0,1580.0,2.0,0.0,7.0,97.0,Wrong password,2021-06-29,Good,good resolution...,2020-03-05,Turkey,Engineering,481.0
102,11901,1.0,2019.0,1.0,1.0,2.0,74.0,Payment processing,2021-06-28,Good,effacer l'article,2020-05-05,Brazil,Humanities,419.0
103,13594,1.0,1426.0,1.0,1.0,11.0,473.0,Wrong password,2021-05-30,Bad,confusing experience,2015-03-05,Hungary,Engineering,2278.0
104,12750,1.0,1522.0,4.0,0.0,5.0,614.0,Wrong password,,Bad,,2016-01-22,Brazil,Other,
105,12843,1.0,1377.0,5.0,0.0,5.0,180.0,Payment processing,2021-06-16,Good,Comportement des agents nice,2015-06-18,Hungary,Engineering,2190.0
106,10410,0.0,1688.0,1.0,1.0,13.0,459.0,Compromited account,2021-06-05,Bad,Livraison peu fiable !!,2016-05-15,Netherlands,Humanities,1847.0
107,11637,1.0,1336.0,2.0,0.0,16.0,477.0,Payment processing,2021-08-09,Bad,Comunicación de agentes desagradables,2020-10-10,Serbia,Other,303.0
108,12267,1.0,1340.0,2.0,0.0,6.0,145.0,Item do not show,2021-08-22,Good,reliable game,2018-01-13,Spain,Language & Literature,1317.0
109,10407,1.0,1532.0,1.0,1.0,6.0,71.0,Payment processing,2021-05-18,Good,reliable delivery!!,2017-03-16,Turkey,Language & Literature,1524.0
110,12361,1.0,1580.0,1.0,1.0,4.0,256.0,Payment processing,2021-08-03,Good,useful agent,2020-03-05,Turkey,Engineering,516.0
111,15037,1.0,1648.0,2.0,0.0,4.0,194.0,Payment processing,2021-07-01,Good,N / A,2014-10-13,Turkey,Arts,2453.0
112,12662,1.0,1692.0,1.0,1.0,6.0,29.0,Wrong password,2021-06-02,Good,precise game,2014-10-06,Netherlands,Language & Literature,2431.0
113,12528,1.0,2028.0,3.0,0.0,23.0,517.0,Payment processing,2021-08-21,Bad,I do not like agent`s communication,2015-06-25,United States,Other,2249.0
114,13607,1.0,1949.0,4.0,0.0,8.0,759.0,Payment processing,2021-08-07,Bad,mauvaise résolution ...,2017-01-22,Argentina,Humanities,1658.0
115,10888,0.0,1947.0,4.0,0.0,12.0,573.0,Item do not show,2021-06-07,Bad,unpleasant website,2017-07-27,Honduras,Law,1411.0
116,13170,1.0,1477.0,2.0,,5.0,50.0,Wrong password,2021-08-03,Good,buen agente,2014-05-21,Turkey,Humanities,2631.0
117,13035,1.0,1710.0,5.0,0.0,3.0,125.0,Payment processing,2021-07-29,Good,clear service,2019-05-10,Netherlands,Other,811.0
118,10199,1.0,1427.0,2.0,0.0,3.0,119.0,Wrong password,2021-07-30,Good,well done services,2016-02-17,Hungary,Engineering,1990.0
119,11745,1.0,1697.0,2.0,0.0,3.0,548.0,Payment processing,2021-05-15,Bad,juego duro,2019-07-09,Argentina,Design,676.0
120,10307,1.0,1656.0,1.0,1.0,3.0,92.0,Wrong password,2021-07-08,Good,grand agent,2018-08-31,Serbia,Engineering,1042.0
121,11910,1.0,1360.0,1.0,1.0,10.0,226.0,Wrong password,2021-08-17,Good,satisfactory resolution,2017-12-26,Argentina,Law,1330.0
122,12959,1.0,1819.0,2.0,0.0,17.0,817.0,Payment processing,2021-07-26,Bad,unpleasant resolution...,2017-10-27,Spain,Economics,1368.0
123,12376,0.0,1817.0,1.0,1.0,10.0,586.0,Cheating,2021-06-22,Bad,Comunicación de agentes duros,2019-05-08,Argentina,Other,776.0
124,14322,1.0,1806.0,3.0,0.0,7.0,68.0,,2021-07-10,Good,quick agents communication,2020-01-23,Turkey,Language & Literature,534.0
125,15659,1.0,1770.0,3.0,0.0,6.0,335.0,Item do not show,2021-06-09,Bad,unpleasant resolution...,2020-07-16,Hungary,Language & Literature,328.0
126,10565,0.0,1427.0,3.0,0.0,8.0,575.0,Item do not show,2021-05-23,Bad,No me gusta la resolución ...,2016-02-17,Hungary,Engineering,1922.0
127,10238,1.0,2019.0,2.0,0.0,20.0,430.0,Wrong password,2021-05-15,Bad,slow..... agent's communication,2020-05-05,Brazil,Humanities,375.0
128,14966,1.0,1377.0,2.0,0.0,8.0,135.0,Payment processing,2021-06-10,Good,reliable player mode,2015-06-18,Hungary,Engineering,2184.0
129,14220,1.0,1400.0,5.0,0.0,8.0,462.0,Wrong password,2021-05-19,Bad,disappointing agents behavior,2019-10-07,Argentina,IT,590.0
130,11285,0.0,1646.0,3.0,0.0,25.0,602.0,Compromited account,2021-07-22,Bad,No me gusta la solución,2017-06-14,Serbia,Language & Literature,1499.0
131,13606,1.0,1535.0,3.0,0.0,7.0,549.0,Wrong password,2021-07-12,Bad,jeu inutile,2019-04-28,Spain,Law,806.0
132,12921,1.0,1414.0,3.0,0.0,7.0,,Item do not show,2021-08-13,Good,¡increíble! Comportamiento del agente,2019-07-10,Brazil,Language & Literature,765.0
133,13778,1.0,1929.0,2.0,0.0,6.0,180.0,Item do not show,2021-05-12,Good,welldone: process,2020-08-12,Serbia,Other,273.0
134,13836,1.0,1317.0,3.0,0.0,6.0,125.0,Wrong password,,Good,Le comportement de l'agent merveilleux,2014-11-15,Portugal,Life Sciences,
135,15525,0.0,1287.0,5.0,0.0,6.0,1381.0,Wrong password,2021-07-27,Bad,Produit décevant!,2015-05-10,Spain,Life Sciences,2270.0
136,14901,1.0,1813.0,4.0,0.0,2.0,185.0,Wrong password,2021-08-22,Good,"well done, service",2018-01-27,Honduras,Humanities,1303.0
137,15313,1.0,1477.0,2.0,0.0,11.0,612.0,Wrong password,2021-05-29,Bad,slow services,2014-05-21,Turkey,Humanities,2565.0
138,14175,1.0,1566.0,1.0,1.0,,133.0,Payment processing,2021-07-31,Good,Produit utile!,2014-06-15,Brazil,Engineering,2603.0
139,14020,1.0,1663.0,1.0,1.0,4.0,1037.0,Wrong password,2021-06-08,Bad,inefficient agent`s behavior,2020-05-20,United States,Engineering,384.0
140,15512,1.0,1921.0,3.0,0.0,,114.0,Item do not show,2021-05-12,Good,welldone: delivery,2015-04-10,Brazil,Humanities,2224.0
141,13595,1.0,1580.0,2.0,0.0,9.0,444.0,,2021-05-16,Bad,unreliable resolution...,2020-03-05,Turkey,Engineering,437.0
142,13524,1.0,1359.0,1.0,1.0,2.0,295.0,Wrong password,2021-06-11,Good,precise agent`s behavior,2015-09-05,Serbia,Other,2106.0
143,11707,1.0,1341.0,5.0,0.0,11.0,425.0,,2021-06-07,Bad,Mal comportamiento de los agentes,2016-03-16,Honduras,Other,1909.0
144,10651,1.0,1710.0,2.0,0.0,5.0,,Payment processing,2021-05-19,Good,welldone: delivery,2019-05-10,Netherlands,Other,740.0
145,12364,1.0,1812.0,1.0,1.0,5.0,89.0,Payment processing,2021-08-15,Good,Gran comportamiento de los agentes,2019-07-18,Serbia,Other,759.0
146,14798,1.0,1363.0,2.0,0.0,4.0,159.0,Item do not show,2021-07-28,Good,great service!!!,2019-02-02,Portugal,Law,907.0
147,12788,1.0,1671.0,2.0,0.0,6.0,479.0,Wrong password,2021-06-28,Bad,"solution irréalisable,",2016-12-10,Hungary,IT,1661.0
148,10778,1.0,1692.0,2.0,0.0,13.0,873.0,Wrong password,2021-08-15,Bad,I do not like resolution,2014-10-06,Netherlands,Language & Literature,2505.0
149,13770,1.0,1522.0,4.0,0.0,15.0,779.0,Wrong password,2021-07-27,Bad,expérience sévère,2016-01-22,Brazil,Other,2013.0
150,13845,1.0,1531.0,2.0,0.0,7.0,961.0,Payment processing,2021-05-25,Bad,Resolución ineficiente ...,2014-02-10,Serbia,Economics,2661.0
151,13407,1.0,1996.0,5.0,0.0,6.0,89.0,Wrong password,2021-07-13,Good,Me gusta la entrega,2020-08-30,Portugal,Engineering,317.0
152,13883,0.0,1384.0,2.0,0.0,3.0,183.0,,2021-08-10,Good,gran juego,2018-06-10,United States,Humanities,1157.0
153,13018,1.0,1438.0,3.0,0.0,7.0,378.0,Wrong password,2021-07-24,Bad,awful resolution...,2020-05-30,Honduras,Other,420.0
154,10384,1.0,1267.0,2.0,0.0,6.0,183.0,Payment processing,2021-07-18,Good,wonderful product,2014-05-11,Brazil,Humanities,2625.0
155,10293,1.0,1248.0,3.0,0.0,10.0,671.0,Item do not show,2021-06-11,Bad,unclear agents communication,2016-07-22,United States,Engineering,1785.0
156,14036,1.0,1781.0,2.0,0.0,5.0,620.0,Wrong password,2021-05-14,Bad,Résolution insatisfaisante,2019-04-14,United States,Language & Literature,761.0
157,10455,1.0,1759.0,2.0,0.0,6.0,85.0,Wrong password,2021-08-13,Good,,2019-05-15,Hungary,Humanities,821.0
158,10223,1.0,1719.0,1.0,1.0,4.0,110.0,Wrong password,2021-06-16,Good,great agents communication,2016-08-03,Argentina,Other,1778.0
159,10935,0.0,1695.0,3.0,,9.0,625.0,Item do not show,2021-06-11,Bad,modo de reproductor poco claro,2014-09-20,Serbia,Engineering,2456.0
160,10857,1.0,1926.0,7.0,0.0,5.0,88.0,Item do not show,2021-05-19,Good,fantastic website,2016-04-07,Hungary,Arts,1868.0
161,10918,1.0,1777.0,2.0,0.0,5.0,27.0,Payment processing,2021-06-26,Good,well done services!,2016-12-22,Turkey,IT,1647.0
162,12879,1.0,1350.0,2.0,0.0,3.0,257.0,Payment processing,2021-06-13,Good,well done agent,2020-11-09,Hungary,Language & Literature,216.0
163,11090,1.0,1710.0,1.0,1.0,2.0,74.0,Payment processing,2021-07-02,Good,élément rapide,2019-05-10,Netherlands,Other,784.0
164,10323,1.0,1548.0,3.0,0.0,,189.0,Wrong password,2021-05-18,Good,well done career mode,2020-10-03,Honduras,Law,227.0
165,11945,1.0,1341.0,4.0,0.0,8.0,145.0,Wrong password,2021-05-25,Good,Increíble servicio !!!,2016-03-16,Honduras,Other,1896.0
166,14172,1.0,1646.0,1.0,1.0,5.0,186.0,Payment processing,2021-05-18,Good,nice resolution...,2017-06-14,Serbia,Language & Literature,1434.0
167,14588,1.0,1568.0,3.0,0.0,2.0,201.0,Payment processing,2021-08-19,Good,nice delivery!!,2018-06-18,Honduras,Other,1158.0
168,14899,1.0,1648.0,2.0,0.0,9.0,210.0,Payment processing,2021-06-10,Good,"amazing! solution,",2014-10-13,Turkey,Arts,2432.0
169,12031,1.0,1435.0,4.0,0.0,3.0,203.0,Compromited account,2021-06-10,Good,service rapide!!!,2015-08-24,Serbia,Engineering,2117.0
170,12827,1.0,2028.0,3.0,0.0,13.0,201.0,Payment processing,2021-06-17,Good,"Fantástica solución,",2015-06-25,United States,Other,2184.0
171,14285,0.0,1390.0,4.0,0.0,9.0,211.0,Compromited account,2021-07-10,Good,reliable agents behavior,2019-09-22,Argentina,Engineering,657.0
172,10764,1.0,1726.0,2.0,0.0,9.0,84.0,Payment processing,2021-06-27,Good,efficient website,2015-01-31,United States,Humanities,2339.0
173,15083,1.0,1336.0,3.0,0.0,5.0,239.0,Item do not show,2021-06-01,Good,Comportement des agents eficientes,2020-10-10,Serbia,Other,234.0
174,15432,1.0,1781.0,1.0,1.0,24.0,468.0,Item do not show,2021-05-18,Bad,unrealiable resolution,2019-04-14,United States,Language & Literature,765.0
175,12412,1.0,1377.0,4.0,0.0,5.0,157.0,Wrong password,2021-05-26,Good,Beau match,2015-06-18,Hungary,Engineering,2169.0
176,11300,1.0,1319.0,3.0,0.0,12.0,204.0,Payment processing,2021-07-31,Good,well done services,2014-04-12,Honduras,Engineering,2667.0
177,13033,1.0,1358.0,5.0,0.0,16.0,795.0,Payment processing,2021-06-05,Bad,unreliable... resolution...,2015-06-24,Spain,Language & Literature,2173.0
178,15566,1.0,1531.0,1.0,1.0,4.0,311.0,Payment processing,2021-08-07,Good,good item,2014-02-10,Serbia,Economics,2735.0
179,12540,1.0,1671.0,4.0,0.0,19.0,504.0,Payment processing,2021-07-21,Bad,agente lento,2016-12-10,Hungary,IT,1684.0
180,11239,0.0,1949.0,1.0,1.0,8.0,577.0,Compromited account,2021-08-23,Bad,experiencia confusa,2017-01-22,Argentina,Humanities,1674.0
181,12117,1.0,1411.0,5.0,0.0,5.0,557.0,Wrong password,2021-07-15,Bad,Slow ..... Services!,2016-12-29,Hungary,Economics,1659.0
182,15518,1.0,1267.0,1.0,,2.0,55.0,,2021-07-17,Good,Resolución precisa ...,2014-05-11,Brazil,Humanities,2624.0
183,10872,1.0,1360.0,1.0,1.0,2.0,70.0,Wrong password,2021-06-10,Good,résolution claire,2017-12-26,Argentina,Law,1262.0
184,10997,1.0,1663.0,3.0,0.0,2.0,55.0,Wrong password,2021-05-25,Good,nice process,2020-05-20,United States,Engineering,370.0
185,11091,1.0,1412.0,2.0,0.0,10.0,89.0,Payment processing,2021-07-09,Good,good agent,2019-10-08,Brazil,Law,640.0
