"Ticket_number","Resolution","AgentID","CPC","FirstContactResolution","FullResolutionTime","ReplyTime","Problem","TicketCreationDate","Satisfaction","Comment"
14748,NA,2003,2,0,6,172,"Cheating","2021-08-20","Offered",NA
15600,NA,1480,3,0,4,192,"Item do not show","2021-05-29","Offered",NA
14154,1,1519,2,0,13,NA,"Payment processing","2021-06-25","Good","wonderful agents behavior"
13966,1,1360,2,0,5,304,NA,"2021-08-09","Good","amazing career mode"
11870,1,2028,5,0,10,122,"Payment processing","2021-06-21","Good","quick delivery."
10911,NA,1473,3,0,4,213,"Item do not show","2021-07-19","Offered",NA
11920,1,1580,1,1,4,1125,"Wrong password","2021-08-08","Bad","Je n'aime pas les services!"
14905,0,1571,2,0,11,491,"Payment processing","2021-05-27","Bad","N / A"
11601,NA,1857,2,0,4,135,NA,"2021-07-14","Offered","N / A"
10426,NA,1926,1,1,7,145,"Payment processing","2021-07-01","Offered",NA
11050,0,1710,1,1,10,710,"Cheating","2021-06-04","Bad","Services à uselous"
13905,1,1522,4,0,6,769,"Wrong password","2021-07-09","Bad","Je n'aime pas le comportement de l'agent"
14417,NA,1438,NA,0,3,174,"Wrong password",NA,"Offered",NA
15416,1,1473,3,0,5,111,"Payment processing","2021-05-22","Good","nice process"
14068,1,1400,2,0,8,586,"Wrong password","2021-08-08","Bad","uselless solution,"
14581,1,1754,4,0,3,390,"Wrong password","2021-07-25","Bad","unreliable web-site"
11236,1,1746,3,0,9,863,NA,"2021-07-13","Bad",NA
13187,NA,NA,NA,NA,NA,NA,NA,"2015-07-05","Offered","N / A"
12375,1,1812,2,0,11,NA,"Wrong password","2021-06-12","Good","i like agent`s behavior"
10532,1,1359,2,0,8,301,"Wrong password","2021-06-11","Good","Welldone: Entrega !!"
11891,NA,1770,NA,1,6,NA,"Compromited account","2021-06-27","Offered","N / A"
15652,1,1377,3,0,17,538,"Wrong password","2021-07-16","Bad","I dont like product"
14341,1,1947,4,0,20,NA,"Wrong password","2021-05-13","Bad","N / A"
13335,1,1754,4,0,13,221,"Item do not show","2021-08-05","Good","quick player mode"
14110,1,1926,1,1,3,176,"Payment processing","2021-07-04","Good","good experience"
11706,1,1438,4,0,5,198,"Payment processing","2021-05-14","Good","Produit sympae"
12189,NA,1656,4,0,2,105,"Item do not show","2021-07-21","Offered",NA
10460,1,1360,3,0,9,103,"Compromited account","2021-07-27","Good","Le comportement de l'agent rapide"
13774,NA,1438,4,0,9,75,NA,"2021-06-05","Offered",NA
11878,1,1360,5,0,2,101,"Payment processing","2021-06-09","Good","Résolution incroyable ..."
12837,1,1384,1,1,5,207,"Wrong password","2021-07-08","Good","clear solution,"
15412,NA,1414,2,0,10,488,"Item do not show","2021-06-18","Offered","N / A"
13318,NA,1390,2,0,16,392,"Item do not show","2021-07-27","Offered","N / A"
15117,NA,1812,NA,NA,11,718,"Payment processing","2021-07-03","Offered","N / A"
14800,1,1340,3,0,6,841,"Compromited account","2021-07-05","Bad","awful delivery!!"
11551,1,1414,4,0,11,NA,"Wrong password","2021-06-05","Bad","confusing services!"
10289,0,1817,4,0,21,450,"Cheating","2021-08-20","Bad","unreliable... delivery"
14661,1,1819,1,1,3,NA,"Item do not show",NA,"Good","I like product"
12953,1,1688,4,0,4,556,"Item do not show","2021-08-17","Bad","unpleasant agents behavior"
11928,NA,1666,2,0,4,38,"Compromited account","2021-08-05","Offered","N / A"
13551,1,1580,2,0,7,97,"Wrong password","2021-06-29","Good","good resolution..."
11901,1,2019,1,1,2,74,"Payment processing","2021-06-28","Good","effacer l'article"
13594,1,1426,1,1,11,473,"Wrong password","2021-05-30","Bad","confusing experience"
12750,1,1522,4,0,5,614,"Wrong password",NA,"Bad",NA
13381,NA,1384,3,0,NA,234,"Wrong password","2021-08-21","Offered",NA
13501,NA,1899,2,0,3,657,"Item do not show","2021-08-15","Offered",NA
12843,1,1377,5,0,5,180,"Payment processing","2021-06-16","Good","Comportement des agents nice"
10410,0,1688,1,1,13,459,"Compromited account","2021-06-05","Bad","Livraison peu fiable !!"
11637,1,1336,2,0,16,477,"Payment processing","2021-08-09","Bad","Comunicación de agentes desagradables"
12267,1,1340,2,0,6,145,"Item do not show","2021-08-22","Good","reliable game"
10407,1,1532,1,1,6,71,"Payment processing","2021-05-18","Good","reliable delivery!!"
12361,1,1580,1,1,4,256,"Payment processing","2021-08-03","Good","useful agent"
15037,1,1648,2,0,4,194,"Payment processing","2021-07-01","Good","N / A"
12662,1,1692,1,1,6,29,"Wrong password","2021-06-02","Good","precise game"
12528,1,2028,3,0,23,517,"Payment processing","2021-08-21","Bad","I do not like agent`s communication"
13607,1,1949,4,0,8,759,"Payment processing","2021-08-07","Bad","mauvaise résolution ..."
10888,0,1947,4,0,12,573,"Item do not show","2021-06-07","Bad","unpleasant website"
13170,1,1477,2,NA,5,50,"Wrong password","2021-08-03","Good","buen agente"
13035,1,1710,5,0,3,125,"Payment processing","2021-07-29","Good","clear service"
10199,1,1427,2,0,3,119,"Wrong password","2021-07-30","Good","well done services"
11745,1,1697,2,0,3,548,"Payment processing","2021-05-15","Bad","juego duro"
11268,NA,1535,2,0,8,859,"Cheating","2021-08-15","Offered",NA
10307,1,1656,1,1,3,92,"Wrong password","2021-07-08","Good","grand agent"
11910,1,1360,1,1,10,226,"Wrong password","2021-08-17","Good","satisfactory resolution"
12959,1,1819,2,0,17,817,"Payment processing","2021-07-26","Bad","unpleasant resolution..."
12376,0,1817,1,1,10,586,"Cheating","2021-06-22","Bad","Comunicación de agentes duros"
14322,1,1806,3,0,7,68,NA,"2021-07-10","Good","quick agents communication"
10394,NA,2028,1,1,14,NA,"Payment processing","2021-08-05","Offered",NA
11580,NA,1942,2,0,9,227,"Wrong password","2021-08-16","Offered","N / A"
15659,1,1770,3,0,6,335,"Item do not show","2021-06-09","Bad","unpleasant resolution..."
10565,0,1427,3,0,8,575,"Item do not show","2021-05-23","Bad","No me gusta la resolución ..."
10238,1,2019,2,0,20,430,"Wrong password","2021-05-15","Bad","slow..... agent's communication"
14966,1,1377,2,0,8,135,"Payment processing","2021-06-10","Good","reliable player mode"
14971,NA,1317,7,0,5,162,"Wrong password","2021-06-05","Offered",NA
14220,1,1400,5,0,8,462,"Wrong password","2021-05-19","Bad","disappointing agents behavior"
15423,NA,1921,1,1,10,71,"Item do not show","2021-08-16","Offered",NA
11285,0,1646,3,0,25,602,"Compromited account","2021-07-22","Bad","No me gusta la solución"
10979,NA,1455,4,0,9,103,"Payment processing","2021-06-17","Offered",NA
13606,1,1535,3,0,7,549,"Wrong password","2021-07-12","Bad","jeu inutile"
12921,1,1414,3,0,7,NA,"Item do not show","2021-08-13","Good","¡increíble! Comportamiento del agente"
13778,1,1929,2,0,6,180,"Item do not show","2021-05-12","Good","welldone: process"
13836,1,1317,3,0,6,125,"Wrong password",NA,"Good","Le comportement de l'agent merveilleux"
15525,0,1287,5,0,6,1381,"Wrong password","2021-07-27","Bad","Produit décevant!"
13719,NA,1695,3,0,21,557,"Payment processing","2021-06-27","Offered",NA
14437,NA,1426,2,0,3,244,"Wrong password","2021-05-12","Offered",NA
14901,1,1813,4,0,2,185,"Wrong password","2021-08-22","Good","well done, service"
15313,1,1477,2,0,11,612,"Wrong password","2021-05-29","Bad","slow services"
15290,NA,1857,NA,0,14,748,"Item do not show","2021-07-11","Offered",NA
14175,1,1566,1,1,NA,133,"Payment processing","2021-07-31","Good","Produit utile!"
14857,NA,1806,5,0,NA,666,"Wrong password","2021-06-03","Offered",NA
14020,1,1663,1,1,4,1037,"Wrong password","2021-06-08","Bad","inefficient agent`s behavior"
15512,1,1921,3,0,NA,114,"Item do not show","2021-05-12","Good","welldone: delivery"
13595,1,1580,2,0,9,444,NA,"2021-05-16","Bad","unreliable resolution..."
13524,1,1359,1,1,2,295,"Wrong password","2021-06-11","Good","precise agent`s behavior"
11707,1,1341,5,0,11,425,NA,"2021-06-07","Bad","Mal comportamiento de los agentes"
10651,1,1710,2,0,5,NA,"Payment processing","2021-05-19","Good","welldone: delivery"
15197,NA,1427,NA,0,8,175,"Wrong password","2021-05-25","Offered","N / A"
12364,1,1812,1,1,5,89,"Payment processing","2021-08-15","Good","Gran comportamiento de los agentes"
14798,1,1363,2,0,4,159,"Item do not show","2021-07-28","Good","great service!!!"
12788,1,1671,2,0,6,479,"Wrong password","2021-06-28","Bad","solution irréalisable,"
11456,NA,1412,3,0,3,279,"Wrong password","2021-08-01","Offered",NA
10778,1,1692,2,0,13,873,"Wrong password","2021-08-15","Bad","I do not like resolution"
13770,1,1522,4,0,15,779,"Wrong password","2021-07-27","Bad","expérience sévère"
13845,1,1531,2,0,7,961,"Payment processing","2021-05-25","Bad","Resolución ineficiente ..."
13407,1,1996,5,0,6,89,"Wrong password","2021-07-13","Good","Me gusta la entrega"
13883,0,1384,2,0,3,183,NA,"2021-08-10","Good","gran juego"
13018,1,1438,3,0,7,378,"Wrong password","2021-07-24","Bad","awful resolution..."
10384,1,1267,2,0,6,183,"Payment processing","2021-07-18","Good","wonderful product"
10293,1,1248,3,0,10,671,"Item do not show","2021-06-11","Bad","unclear agents communication"
14036,1,1781,2,0,5,620,"Wrong password","2021-05-14","Bad","Résolution insatisfaisante"
10547,NA,1337,4,0,2,154,"Wrong password","2021-08-10","Offered","N / A"
10455,1,1759,2,0,6,85,"Wrong password","2021-08-13","Good",NA
10223,1,1719,1,1,4,110,"Wrong password","2021-06-16","Good","great agents communication"
10209,NA,1358,1,1,6,333,"Item do not show","2021-08-17","Offered",NA
15577,NA,1671,4,0,6,214,"Cheating","2021-07-10","Offered",NA
10935,0,1695,3,NA,9,625,"Item do not show","2021-06-11","Bad","modo de reproductor poco claro"
12250,NA,1746,NA,0,9,181,"Wrong password",NA,"Offered","N / A"
13069,NA,1566,1,1,NA,813,"Compromited account","2021-06-02","Offered",NA
10857,1,1926,7,0,5,88,"Item do not show","2021-05-19","Good","fantastic website"
10918,1,1777,2,0,5,27,"Payment processing","2021-06-26","Good","well done services!"
12879,1,1350,2,0,3,257,"Payment processing","2021-06-13","Good","well done agent"
11090,1,1710,1,1,2,74,"Payment processing","2021-07-02","Good","élément rapide"
10323,1,1548,3,0,NA,189,"Wrong password","2021-05-18","Good","well done career mode"
11945,1,1341,4,0,8,145,"Wrong password","2021-05-25","Good","Increíble servicio !!!"
14283,NA,1412,2,0,11,21,"Payment processing","2021-05-16","Offered",NA
14172,1,1646,1,1,5,186,"Payment processing","2021-05-18","Good","nice resolution..."
14588,1,1568,3,0,2,201,"Payment processing","2021-08-19","Good","nice delivery!!"
14899,1,1648,2,0,9,210,"Payment processing","2021-06-10","Good","amazing! solution,"
12031,1,1435,4,0,3,203,"Compromited account","2021-06-10","Good","service rapide!!!"
12827,1,2028,3,0,13,201,"Payment processing","2021-06-17","Good","Fantástica solución,"
14285,0,1390,4,0,9,211,"Compromited account","2021-07-10","Good","reliable agents behavior"
10764,1,1726,2,0,9,84,"Payment processing","2021-06-27","Good","efficient website"
10281,NA,1817,3,0,4,NA,NA,"2021-07-03","Offered",NA
15083,1,1336,3,0,5,239,"Item do not show","2021-06-01","Good","Comportement des agents eficientes"
14846,NA,1926,2,0,15,NA,NA,"2021-07-03","Offered",NA
15432,1,1781,1,1,24,468,"Item do not show","2021-05-18","Bad","unrealiable resolution"
12412,1,1377,4,0,5,157,"Wrong password","2021-05-26","Good","Beau match"
11300,1,1319,3,0,12,204,"Payment processing","2021-07-31","Good","well done services"
13033,1,1358,5,0,16,795,"Payment processing","2021-06-05","Bad","unreliable... resolution..."
15566,1,1531,1,1,4,311,"Payment processing","2021-08-07","Good","good item"
13339,NA,1566,2,0,7,32,"Wrong password","2021-06-19","Offered",NA
12540,1,1671,4,0,19,504,"Payment processing","2021-07-21","Bad","agente lento"
11336,NA,1477,NA,NA,12,200,"Wrong password","2021-06-23","Offered","N / A"
14508,NA,1359,NA,1,9,180,"Wrong password","2021-08-08","Offered",NA
14771,NA,1921,2,0,NA,NA,"Payment processing","2021-06-11","Offered","N / A"
11239,0,1949,1,1,8,577,"Compromited account","2021-08-23","Bad","experiencia confusa"
12117,1,1411,5,0,5,557,"Wrong password","2021-07-15","Bad","Slow ..... Services!"
15518,1,1267,1,NA,2,55,NA,"2021-07-17","Good","Resolución precisa ..."
10872,1,1360,1,1,2,70,"Wrong password","2021-06-10","Good","résolution claire"
10997,1,1663,3,0,2,55,"Wrong password","2021-05-25","Good","nice process"
13334,NA,1519,3,0,14,NA,"Wrong password","2021-07-25","Offered","N / A"
11091,1,1412,2,0,10,89,"Payment processing","2021-07-09","Good","good agent"
12268,1,1719,3,0,6,135,"Wrong password","2021-06-04","Good","Me gusta el comportamiento de los agentes"
14456,0,1340,1,1,8,89,"Item do not show","2021-08-11","Bad","artículo poco confiable"
10461,NA,1947,2,0,4,121,"Payment processing","2021-06-11","Offered",NA
12146,NA,NA,NA,NA,NA,NA,NA,NA,"Offered",NA
13007,NA,1583,2,0,NA,748,"Wrong password","2021-08-16","Offered",NA
13247,1,1568,5,0,8,1186,"Payment processing","2021-06-08","Bad","horrible expérience"
12409,NA,1350,NA,NA,7,721,"Wrong password","2021-08-16","Offered","N / A"
15288,1,1663,3,0,9,263,"Wrong password","2021-07-17","Good","nice agent`s behavior"
12284,1,1341,2,0,32,890,"Payment processing",NA,"Bad","I don't like experience"
11326,0,1531,2,0,7,305,"Wrong password","2021-05-18","Good","fantástico sitio web"
11741,1,1350,4,0,9,583,"Wrong password",NA,"Bad","experiencia confusa"
11400,0,1438,2,0,4,134,"Compromited account",NA,"Good","Communication de l'agent incroyable"
11936,1,1671,2,0,7,187,NA,"2021-08-19","Good","eficient agents communication"
11407,NA,1532,4,0,2,54,"Cheating","2021-08-01","Offered",NA
11748,0,1936,1,NA,16,638,"Compromited account","2021-06-20","Bad","Entrega insatisfactoria !!"
14038,1,1340,2,0,2,98,"Payment processing","2021-07-05","Good","amazing delivery!!"
13745,1,1967,2,0,6,302,"Wrong password","2021-05-28","Good","amazing experience"
10620,NA,1377,4,0,10,NA,"Cheating","2021-07-04","Offered",NA
12582,NA,1967,3,0,6,50,"Wrong password","2021-06-24","Offered",NA
11438,NA,1967,NA,0,8,61,"Payment processing",NA,"Offered",NA
14549,1,1340,2,0,10,67,"Wrong password","2021-06-03","Good","maravillosa solución"
11414,1,1360,4,0,18,824,"Item do not show","2021-05-16","Bad","slow..... agent's communication"
10549,1,1477,2,0,17,109,"Payment processing","2021-08-02","Good","Bien hecho, producto!"
12847,NA,1531,4,0,3,383,"Item do not show","2021-05-11","Offered",NA
13955,1,1340,2,0,3,228,"Payment processing","2021-05-13","Good","expérience fantastique"
11184,0,1426,5,0,3,747,"Item do not show","2021-08-09","Bad","N / A"
10910,1,1384,1,1,7,74,"Payment processing","2021-07-27","Good","comportement d'agent satisfaisant"
10739,1,1892,4,0,6,131,NA,"2021-07-14","Bad","Je n'aime pas la communication des agents"
10927,1,1985,2,0,2,NA,"Payment processing","2021-06-10","Good","welldone: solution"
11825,0,1568,3,0,5,277,"Wrong password","2021-07-14","Good","livraison satisfaisante"
13669,1,1412,2,NA,11,254,"Wrong password","2021-07-04","Good","entrega satisfactoria"
13549,1,1813,4,0,5,293,"Item do not show","2021-05-29","Good","solución útil,"
12682,1,1580,4,0,11,210,"Payment processing","2021-05-11","Good","amazing! player mode"
11069,1,1360,2,0,10,NA,"Payment processing","2021-05-26","Good","amazing! agents communication"
11363,1,1341,3,0,8,1135,"Payment processing","2021-06-07","Bad","inefficient service"
14233,1,1571,3,0,14,916,"Wrong password","2021-06-21","Bad","unreliable... service"
14151,NA,1648,1,1,6,168,"Payment processing","2021-08-19","Offered",NA
11190,NA,1663,3,0,11,747,"Payment processing","2021-07-01","Offered",NA
13777,NA,1548,1,1,6,54,"Payment processing","2021-07-29","Offered","N / A"
15020,NA,1813,NA,NA,5,803,"Item do not show","2021-05-19","Offered","N / A"
10277,1,1340,1,1,13,832,"Item do not show",NA,"Bad","unreliable... solution,"
15474,NA,NA,NA,NA,NA,NA,NA,"2017-10-07","Offered",NA
12485,NA,1438,3,0,8,52,"Payment processing","2021-08-22","Offered",NA
14296,NA,1363,2,0,16,808,"Payment processing",NA,"Offered",NA
15172,1,1319,4,NA,20,518,"Payment processing","2021-08-06","Bad","poco confiable ... comportamiento del agente"
11615,NA,1656,3,0,7,936,"Cheating","2021-08-19","Offered","N / A"
12692,NA,1317,6,0,12,735,"Item do not show","2021-06-27","Offered",NA
12601,1,1967,3,0,8,251,NA,"2021-07-27","Good","precise product"
10164,0,1929,2,NA,NA,343,"Cheating","2021-08-11","Bad","No me gusta la entrega"
13288,1,1697,3,0,4,679,"Wrong password","2021-06-29","Bad","I dont like service!!!"
12447,0,1585,3,0,4,665,"Cheating","2021-08-03","Bad","confusing process"
15456,0,1363,3,0,8,NA,"Cheating","2021-05-17","Good","well done, agent`s communication"
10377,0,1754,2,0,5,852,"Compromited account","2021-05-12","Bad","¡Producto poco claro!"
15155,1,1548,2,0,12,443,"Wrong password","2021-08-02","Bad","sitio web poco confiable"
14823,1,1746,1,1,5,350,"Wrong password","2021-06-07","Bad","N / A"
10746,NA,1921,1,1,10,592,"Item do not show","2021-07-01","Offered",NA
11952,1,1985,5,0,5,12,"Payment processing","2021-08-13","Good","fast player mode"
12946,1,1817,2,0,7,212,"Cheating","2021-05-24","Good","pleasant agent`s communication"
14717,NA,1496,5,0,17,434,"Payment processing","2021-07-08","Offered",NA
11334,NA,1390,3,0,4,232,"Item do not show",NA,"Offered","N / A"
11934,1,1781,2,0,8,186,"Compromited account","2021-07-01","Good","Comportamiento del agente fantástico"
11525,1,1477,2,0,2,39,"Item do not show","2021-07-12","Good","N / A"
10518,NA,1287,3,NA,7,207,"Payment processing","2021-05-15","Offered","N / A"
13592,NA,1350,2,0,4,221,NA,"2021-06-22","Offered",NA
12143,1,1503,5,0,3,173,"Item do not show","2021-05-21","Good","wonderful services!"
12794,1,1746,2,0,11,981,"Wrong password","2021-06-06","Bad","I do not like agent`s behavior"
10477,NA,1692,2,NA,16,407,"Payment processing","2021-06-11","Offered","N / A"
13326,1,1726,2,0,7,217,"Payment processing",NA,"Good","fantastic career mode"
11835,1,1341,5,NA,15,85,"Payment processing","2021-07-16","Good","¡Servicios rápidos!"
13356,NA,1926,NA,0,NA,610,"Payment processing","2021-06-13","Offered","N / A"
12680,1,1806,1,1,5,175,"Wrong password","2021-06-09","Good","amazing! delivery"
11223,0,1267,1,1,11,581,"Cheating","2021-06-27","Bad","servicios insatisfactorios"
11772,NA,1949,3,0,12,942,"Payment processing","2021-06-28","Offered",NA
14170,1,1967,3,0,5,149,"Wrong password","2021-08-13","Good","Borrar sitio web"
12647,0,2019,5,0,10,503,"Item do not show","2021-07-23","Bad","unreliable agent's communication"
11089,NA,1754,1,NA,3,51,"Item do not show","2021-08-23","Offered","N / A"
14853,NA,2028,6,0,5,231,"Item do not show","2021-05-17","Offered",NA
13513,1,1435,2,0,3,541,"Item do not show","2021-08-03","Bad","slow..... solution,"
